Academic Year,UniversityID,DegreeID,Degree,sameAsWikidata,sameAs,Ambit-id,AcademicLevelId,Credits,Offered Credits
2024-25,a62a164f781be26dd225dfda47b78c12,66c206794f40906b1c5393c4496d2706,EDUCACION PRIMARIA,primary education,https://www.wikidata.org/wiki/Q975085,03b7c4d6f22bd8efa1659d8e6a06d97e,eb0a191797624dd3a48fa681d3061212,240,432
2024-25,a62a164f781be26dd225dfda47b78c12,64e36d464ba01fbe2788a793acd102b8,ENFERMERIA,nursing,https://www.wikidata.org/wiki/Q121176,afc4b5d3b7e78e8fb66cf859c95aaefe,d6d85d89b4612501521435bd3f620a9a,240,252
2024-25,a62a164f781be26dd225dfda47b78c12,5ca20f7d80a85f8c950517da6c72bc72,TRABAJO SOCIAL,social work,https://www.wikidata.org/wiki/Q205398,03b7c4d6f22bd8efa1659d8e6a06d97e,d6d85d89b4612501521435bd3f620a9a,240,294
2024-25,a62a164f781be26dd225dfda47b78c12,72f1a42b217997a3af8ce4a4f9ea0384,ARQUITECTURA,architecture,https://www.wikidata.org/wiki/Q12271,0957ac6a7296b4e6ef4d4e8d25691025,d6d85d89b4612501521435bd3f620a9a,300,312
2024-25,a62a164f781be26dd225dfda47b78c12,79abf602471fc674f24f35d66cc9e9f1,INGENIERIA AEROESPACIAL,aerospace engineering,https://www.wikidata.org/wiki/Q3798668,0957ac6a7296b4e6ef4d4e8d25691025,d6d85d89b4612501521435bd3f620a9a,240,246
2024-25,a62a164f781be26dd225dfda47b78c12,c8b05a3e95265c905506a96507dbb560,INGENIERIA ELECTRICA,electrical engineering,https://www.wikidata.org/wiki/Q43035,0957ac6a7296b4e6ef4d4e8d25691025,d6d85d89b4612501521435bd3f620a9a,240,264
2024-25,a62a164f781be26dd225dfda47b78c12,a07fd94e64750913f82adfb8599e24bb,INGENIERIA ELECTRONICA INDUSTRIAL Y AUTOMATICA,INGENIERIA ELECTRONICA INDUSTRIAL Y AUTOMATICA,,0957ac6a7296b4e6ef4d4e8d25691025,d6d85d89b4612501521435bd3f620a9a,240,252
2024-25,a62a164f781be26dd225dfda47b78c12,952eb335f9ec53b9408b1c70e2db27c2,BIOQUIMICA,biochemistry,https://www.wikidata.org/wiki/Q7094,cca488c1d5d31aa9a4c4356b47f75ebd,d6d85d89b4612501521435bd3f620a9a,240,271.5
2024-25,a62a164f781be26dd225dfda47b78c12,f9ed34cb9ca61226fbcb32acf1abb766,CIENCIAS AMBIENTALES,environmental science,https://www.wikidata.org/wiki/Q188847,cca488c1d5d31aa9a4c4356b47f75ebd,d6d85d89b4612501521435bd3f620a9a,240,291
2024-25,a62a164f781be26dd225dfda47b78c12,83362e3f4f6affe972232bb17ced6dd2,FISICA,physics,https://www.wikidata.org/wiki/Q413,cca488c1d5d31aa9a4c4356b47f75ebd,d6d85d89b4612501521435bd3f620a9a,240,120
2024-25,a62a164f781be26dd225dfda47b78c12,d2aad29982a5c54e85914c9e5d52a386,DOBLE ENFERMERIA-PODOLOGIA,DOBLE ENFERMERIA-PODOLOGIA,,afc4b5d3b7e78e8fb66cf859c95aaefe,d6d85d89b4612501521435bd3f620a9a,408,414
2024-25,a62a164f781be26dd225dfda47b78c12,64e36d464ba01fbe2788a793acd102b8,ENFERMERIA,nursing,https://www.wikidata.org/wiki/Q121176,afc4b5d3b7e78e8fb66cf859c95aaefe,d6d85d89b4612501521435bd3f620a9a,240,252
2024-25,a62a164f781be26dd225dfda47b78c12,1a74ce6b723d82c0f73476ec86676917,LOGOPEDIA,speech-language pathology,https://www.wikidata.org/wiki/Q33226,afc4b5d3b7e78e8fb66cf859c95aaefe,d6d85d89b4612501521435bd3f620a9a,240,262.5
2024-25,a62a164f781be26dd225dfda47b78c12,fa64f2edeced3f94a0b6143168dbd817,PODOLOGIA,podology,https://www.wikidata.org/wiki/Q52862,afc4b5d3b7e78e8fb66cf859c95aaefe,d6d85d89b4612501521435bd3f620a9a,240,246
2024-25,a62a164f781be26dd225dfda47b78c12,d9a97e6f8b15f7f701678534568e4a7c,TERAPIA OCUPACIONAL,occupational therapy,https://www.wikidata.org/wiki/Q380141,afc4b5d3b7e78e8fb66cf859c95aaefe,d6d85d89b4612501521435bd3f620a9a,240,264
2024-25,a62a164f781be26dd225dfda47b78c12,d443044b1c2afff5acc94bf8eaf521be,CIENCIAS DE LA ACTIVIDAD FISICA Y DEL DEPORTE,sports science,https://www.wikidata.org/wiki/Q1298380,03b7c4d6f22bd8efa1659d8e6a06d97e,d6d85d89b4612501521435bd3f620a9a,240,301.5
2024-25,a62a164f781be26dd225dfda47b78c12,5aba92a0bab0a43ef490f33a91043fab,ADMINISTRACION Y DIRECCION DE EMPRESAS-ESTUDIOS INTERNACIONALES,ADMINISTRACION Y DIRECCION DE EMPRESAS-ESTUDIOS INTERNACIONALES,,03b7c4d6f22bd8efa1659d8e6a06d97e,d6d85d89b4612501521435bd3f620a9a,385.5,498
2024-25,a62a164f781be26dd225dfda47b78c12,1c6ef536a721e6a27f674a015578b9fd,DERECHO-ADMINISTRACION Y DIRECCION DE EMPRESAS,DERECHO-ADMINISTRACION Y DIRECCION DE EMPRESAS,,03b7c4d6f22bd8efa1659d8e6a06d97e,d6d85d89b4612501521435bd3f620a9a,360,250.5
2024-25,a62a164f781be26dd225dfda47b78c12,0d7d597deabce99f92c79f1d365bd606,DERECHO-ESTUDIOS INTERNACIONALES,DERECHO-ESTUDIOS INTERNACIONALES,,03b7c4d6f22bd8efa1659d8e6a06d97e,d6d85d89b4612501521435bd3f620a9a,373.5,469.5
